gene,log2fc,coef_adjusted,pval,padj
TYROBP,5.368975720483867,3.722491752341032,1.7249985499525325e-301,1.2056014865618249e-297
S100A9,6.421641626440119,4.452246720655647,1.145874739256011e-286,4.00425927633013e-283
S100A8,5.813896902057763,4.034219614606217,2.3573473006999515e-282,5.49183342819732e-279
CST3,5.275459810111913,3.6541695890155763,3.1168072828848246e-269,5.44584152502051e-266
LYZ,6.071797957708011,4.203409263096755,7.159691033928757e-226,1.0007816127225617e-222
FCN1,4.144635012609851,2.8705935700014065,5.187087197132006e-202,6.042092070125932e-199
FTL,3.8199424307052223,2.6506986663866416,2.7096468109008156e-199,2.705388794483686e-196
LGALS2,3.7046576443176575,2.5670128012459914,2.6038061779598403e-197,2.2747501722201655e-194
FCER1G,3.538050483190217,2.4508537441379032,1.328327948956785e-172,1.0315204483621079e-169
LST1,3.7293612322875913,2.5844851609045207,2.515556247484243e-162,1.7581222613667373e-159
FTH1,3.063927335430419,2.123268003829725,7.96057416939493e-160,5.057859351809197e-157
AIF1,3.6818833577251024,2.5520783953727753,6.717129497743119e-143,3.9121681716438883e-140
LGALS1,4.079336295764959,2.824102553450908,3.558893645548731e-134,1.9133159760569293e-131
LTB,-3.781448585858505,-2.6234254190828725,5.507245232053517e-131,2.7492954947730024e-128
HLA-DRA,3.7185349244157773,2.5702150217995836,6.129515122137014e-128,2.8559454125743726e-125
TYMP,3.1552201980573202,2.1832817853646596,2.0368744797176507e-127,8.897322336716663e-125
MALAT1,-1.7714522607640844,-1.2235186890304637,6.889020135770283e-126,2.8321977487587357e-123
GSTP1,3.2117849479607963,2.2232693134751056,1.8339600396461868e-118,7.120859287270666e-116
GPX1,3.2067351933661623,2.217663416210598,9.415429602603672e-118,3.463391446978793e-115
CFD,2.521562503704164,1.7444458764592645,4.2410231951465795e-115,1.4820255555439723e-112
CD14,2.3932111634346462,1.656043151489266,1.5212508752786673e-105,5.062867793963146e-103
MS4A6A,2.307082423865203,1.5988572735624587,2.436972294069426e-105,7.741817892386917e-103
CTSS,3.173888914808478,2.1950084805704457,1.16678160192119e-103,3.545494180794433e-101
RPS27,-1.6793012047093776,-1.163644808248203,1.2036780501860553e-98,3.505210788645975e-96
GRN,2.2984843232179673,1.5893459902619658,1.4387585088783376e-98,4.022193287420281e-96
HLA-DRB1,2.6883777638391484,1.85327756526079,3.3591080327352664e-94,9.029540784917992e-92
CD3D,-2.793764948669559,-1.940890962434219,1.346231090076999e-93,3.484744106869684e-91
SAT1,3.150078260761824,2.1803342416739824,3.5063503997051136e-93,8.752101051263943e-91
PSAP,2.779608712711739,1.9185997185860213,2.318908712080436e-89,5.58856999611385e-87
RPS27A,-2.3166912665515587,-1.608692469505856,1.5894808628634121e-86,3.7029605835174627e-84
RPS12,-1.334016108121039,-0.9282679540576553,4.6544761534510896e-85,1.0493591560151505e-82
RPSA,-2.199006634253854,-1.5344775230346361,1.3457037521041729e-83,2.93910110108002e-81
S100A6,2.8265204203875873,1.9562625651162717,5.5038473672885e-83,1.1656481590902825e-80
RPL23A,-1.5040526033066843,-1.0441226698040171,2.905510114844092e-79,5.972532409601576e-77
PYCARD,2.309450968932885,1.5979654563389065,3.9053908779327885e-79,7.798507670249216e-77
LGALS3,2.1527433011717587,1.4856785015067318,3.1288109906312954e-78,6.074238892645034e-76
RPL9,-1.9232479320339182,-1.3368957627825526,3.6518363639561067e-78,6.898022796672765e-76
RPS25,-1.5369470370066103,-1.066117618070784,7.139974824885189e-78,1.3131916855558577e-75
NPC2,2.4711695232095505,1.706470550385323,4.39776978258815e-77,7.881028977053482e-75
IL32,-2.872446839456643,-1.9949209261204626,5.199852353648144e-77,9.085442024911718e-75
COTL1,2.721468773709011,1.8775209778137851,5.796778821376273e-76,9.881387117707018e-74
RPS3,-1.224113346809575,-0.849375267737728,6.255374856442903e-76,1.0409241636114154e-73
CEBPD,2.087128308231929,1.4438581256039134,6.855692803858004e-76,1.1142892327014789e-73
S100A11,2.7213889737590105,1.8808887083813444,8.414750485905647e-76,1.336606616954422e-73
LDHB,-2.3994025388657074,-1.6714496687424232,2.6076068701452486e-74,4.049903203432254e-72
RPL3,-1.2202678147362827,-0.8482019715202305,3.231684747575376e-74,4.910053195827023e-72
HLA-DRB5,1.8430379753939181,1.2677298367244425,2.2694277931109905e-72,3.3746874140537686e-70
SERPINA1,1.950087544527568,1.3473035906956294,9.381227630063226e-71,1.3659458313856642e-68
RPS6,-1.2087391297183452,-0.8392583909972722,1.6911316641935845e-70,2.412105959397747e-68
IFI30,1.5932077215833609,1.1001605471621043,2.7246116949264817e-70,3.808462227168236e-68
CD68,1.8343239584400013,1.2672618755072764,1.3255833435539654e-69,1.8165690172742477e-67
OAZ1,2.319817567178943,1.6058812613560476,2.538350131819171e-69,3.41164020601619e-67
CYBA,2.5191624858113735,1.7413581833543232,6.495754237187663e-69,8.565816295038601e-67
SPI1,1.6393778400686887,1.13036562366739,4.3256333692202035e-68,5.598491040274075e-66
GABARAP,2.350402961808385,1.6227671246839757,4.383932430152201e-67,5.5707825007879524e-65
RPL21,-1.4029918140413788,-0.9723236243685616,1.3079662764415672e-66,1.6323886260803773e-64
AP1S2,2.076871434917122,1.4313909781474603,3.6475392392318713e-65,4.4723950426300964e-63
PTPRCAP,-2.327717074298373,-1.617006282393418,3.819855659728496e-65,4.6029260699728376e-63
RPL13A,-0.8486002355402876,-0.5883499581659861,7.200127968969159e-65,8.529100741546686e-63
NCF2,1.6506157024240171,1.1417743741983313,5.7854189690028086e-64,6.739048862393438e-62
RPS29,-1.9125341008157686,-1.3306776270447036,7.978077190059579e-64,9.14078384939777e-62
S100A4,2.7877001524695326,1.9281339837144498,1.0888083977921916e-63,1.2273680471241334e-61
CD3E,-2.247234353174105,-1.5613097281197401,3.2734263184285985e-62,3.631424847539282e-60
RPS18,-1.0165467975526479,-0.707202243700924,4.4344265541483275e-62,4.842532372959791e-60
TKT,2.05842509173353,1.4215442779566843,1.0652373032397641e-61,1.1453759249758018e-59
CFP,1.800430649503864,1.244287671508662,2.106753194736796e-60,2.2309239512144647e-58
RPS3A,-1.8472673727439362,-1.2804337953973914,3.628768480094141e-60,3.7852929712504405e-58
CD74,2.472668695977122,1.7029903023955832,3.2550186446431516e-59,3.345489015795733e-57
RAC1,2.171914207263436,1.5049752425501972,1.37290666582077e-58,1.3906151720900524e-56
RPL31,-1.6516078703368446,-1.147645384032804,2.237621284571747e-58,2.234105022553134e-56
IFITM3,1.7488497848397413,1.2050780332941122,2.011722076017946e-57,1.9802712097590737e-55
RPL30,-1.3942860522547036,-0.967383997867937,3.477440933726282e-57,3.3755325952518034e-55
RPS15A,-1.5089575485092916,-1.0484658066426096,5.564912761020291e-57,5.327832231064495e-55
RPLP2,-1.0874617798441166,-0.7553981238191907,9.924459139455281e-57,9.373249314277427e-55
RPL27A,-1.1686296798494227,-0.8108818397145536,4.41019169958173e-56,4.1097106384502285e-54
HLA-DPB1,2.1224275753388695,1.461080449365003,3.435379452091815e-53,3.159193025088118e-51
BRI3,1.5352390773008917,1.0636391919529844,5.169837246717784e-53,4.692466560689687e-51
NUP214,1.4069075150362234,0.9731474925110853,3.098782890636513e-52,2.77658892598187e-50
TSPO,2.1036137052303836,1.455787587959297,4.5142400893863065e-51,3.993673922116569e-49
AP2S1,1.750933698620246,1.2076176149429214,1.5942694769576783e-50,1.3927936718071515e-48
RPS23,-1.276077560802471,-0.885696689810958,2.5881200010252258e-50,2.2331321836006547e-48
BLVRB,1.4569835315052964,1.0063234989534764,2.700527707228569e-50,2.3017058714415205e-48
TNFSF13B,1.4005834549900216,0.9663430169711047,6.58026942063136e-50,5.540903973589466e-48
HLA-DPA1,2.0823606051847103,1.4332350357470003,7.06981430545275e-50,5.882253831048722e-48
ALDH2,1.2771533122836178,0.8824029102811852,2.5687403156304128e-49,2.1121089489342298e-47
CDA,1.3899807245643294,0.9624103693619059,6.0895817493909e-49,4.948847307731744e-47
CSF3R,1.3175413740469382,0.91154618159153,1.961794342806332e-48,1.5759747887210865e-46
RNF130,1.3901527932065176,0.9604820750789752,4.708977586739897e-48,3.739891403832402e-46
RPL13,-0.8029966279069018,-0.5567842322979227,5.4535205788949154e-48,4.282545542235569e-46
RPS13,-1.507506702866613,-1.0519408109410409,4.553823900502156e-47,3.5362972489566184e-45
EEF1A1,-1.104811045697855,-0.7719269193695448,5.777808986632487e-47,4.437484286546642e-45
HLA-DMA,1.3605218162980388,0.9386776474152311,2.0323782793017875e-46,1.54394476022176e-44
MNDA,1.1921054836748468,0.822969437990239,8.238955958628397e-46,6.191619698371384e-44
FCGRT,1.5367564802294542,1.0615831029486293,1.7678822366935976e-45,1.314439250239527e-43
CTSH,1.2748932882686297,0.8796285631084035,1.144862338341396e-44,8.422571455440017e-43
RPS20,-1.381794608357236,-0.9606204629037258,1.8184978506408245e-44,1.3239043206384086e-42
IL7R,-2.0315053353245776,-1.4103453307975107,1.8797560682410836e-44,1.3543933155605086e-42
RPLP0,-1.5274429317546296,-1.067580933182846,2.880662016736521e-44,2.0543823300991374e-42
FPR1,1.1406768236567377,0.7878397429170276,4.986566073054501e-44,3.520314170159385e-42
RPL5,-1.4292050657205864,-0.9989519116441664,7.908497530761134e-44,5.527248924248956e-42
TPT1,-1.1916756990303408,-0.8310624414236588,1.4427398785146393e-43,9.983474268256251e-42
B2M,-0.7193999889061112,-0.5010432973055804,1.4992109353893404e-43,1.0272534536702058e-41
ASGR1,1.027260112822845,0.7106142488558361,5.0599599410502195e-42,3.433403886213591e-40
SRGN,2.0100592707446365,1.3858085687818686,3.0930432389579405e-41,2.0785845381804852e-39
LY86,1.1663631204937017,0.8053455073320478,3.620868743699393e-41,2.4101192047347672e-39
RPS19,-1.031292590037625,-0.7145988705404784,4.141561741880397e-41,2.7306957560379337e-39
TMEM66,-1.7964224218428555,-1.2516242696525222,1.1998712645142316e-40,7.837289969803706e-39
EVL,-1.755214690765523,-1.2233185865241962,1.4736407321937608e-40,9.536365812316846e-39
FGR,1.130742331820973,0.7808132614389466,2.1765211372377348e-40,1.3955693787297733e-38
