gene,log2fc,coef_adjusted,pval,padj
NKG7,-6.351268389498868,-4.39001700893866,2.2345202046423554e-180,1.2537892868248256e-176
FTL,3.6771318210470647,2.5296441093978217,3.391724185385369e-172,9.515482202098653e-169
LYZ,6.114096058791813,4.2574529884977315,4.348965796971903e-164,8.134015695603116e-161
GZMB,-4.978428917772058,-3.448529646894916,3.515891688103955e-158,4.931917065487823e-155
GZMA,-4.076164591717746,-2.8212000791930665,1.4034293749430825e-151,1.5749284445611274e-148
GNLY,-5.826758452619888,-4.039796679409987,4.1100064161904375e-147,3.843541000207424e-144
CST3,5.047101590261578,3.5120987368339973,9.055361938727358e-147,7.258519405457029e-144
CTSW,-4.076593516448998,-2.8243226955211647,4.843760829743381e-145,3.397292751961264e-142
CST7,-4.050454561274964,-2.8034471834205332,9.214268531357291e-144,5.744584525493973e-141
PRF1,-4.084066506594289,-2.824750555116422,1.7901503821604817e-135,1.0044533794302463e-132
S100A9,6.0441741043264265,4.1729285040424395,9.735680070774034e-134,4.966081897919373e-131
FGFBP2,-3.9745995493201116,-2.750381579194465,2.745105752391645e-116,1.2835656980557932e-113
FTH1,3.329960762709365,2.296659358635337,1.644749154601945e-110,7.098990389593472e-108
S100A8,5.42205747774207,3.7261900246903874,1.7715035105943296e-108,7.099932998531988e-106
AIF1,4.09928353154263,2.853472963353749,1.7375933939305148e-104,6.499757688896079e-102
PTPRCAP,-3.538103797811984,-2.447735884708488,5.001061647904535e-102,1.7538098066495217e-99
FCN1,4.161693971748933,2.905866925088426,1.682666978536492e-101,5.553790833275445e-99
CD247,-3.1768442646809048,-2.2008846980653756,9.743639712047187e-97,3.037309023572043e-94
COTL1,3.7600333061730677,2.6199998571088177,1.4390237955821314e-93,4.249664482637547e-91
GZMM,-2.744787557374197,-1.901448498881766,4.312886404479792e-89,1.2099802807768056e-86
LST1,3.727255132745125,2.5894266173768736,2.4359820501100222e-88,6.508712039603493e-86
CD7,-2.7589093968018443,-1.9131908300820637,3.6944076968049176e-77,9.42241890307836e-75
MALAT1,-1.8275192928759634,-1.2692124659407862,1.6736624965339829e-74,4.0830088121965993e-72
CTSS,3.3742507668554604,2.3568139067753338,2.875662143175433e-71,6.723058452232231e-69
B2M,-1.5100296883547704,-1.0382975749332817,1.1472094696356325e-70,2.5747969336502133e-68
LGALS2,3.5541322369070962,2.473820719660165,1.515182460463099e-68,3.2698803021763267e-66
HLA-DRA,3.6635080433763165,2.587148024407605,2.0284405680295924e-68,4.215400010079275e-66
SAT1,3.2383545476925915,2.256956425154955,1.6365551911308748e-63,3.2795397062269063e-61
GPX1,3.2021508238247636,2.2338056189720588,2.1494347875912207e-63,4.158785721784255e-61
S100A6,2.6048284200673453,1.8003616848912474,9.20357541928249e-62,1.7213753892531352e-59
FCGR3A,-2.725478721196528,-1.869559610979277,3.6562868927008924e-61,6.617879275788615e-59
SPON2,-2.3815177190371823,-1.6445949986569197,1.0296477116001764e-60,1.8054229093089344e-58
TYMP,3.006453829199784,2.106559092035928,2.6934149266476554e-60,4.5796215616424226e-58
CCL5,-3.4809966146276867,-2.4034985531735336,5.60403557958009e-59,9.248306952065848e-57
GZMH,-2.4442951702204265,-1.6895102151057753,9.009357679363564e-57,1.4443287411116847e-54
OAZ1,2.1512845443271402,1.4869419369767598,1.2557369681352921e-53,1.9572055911686457e-51
VIM,3.1661022283080134,2.221153546512333,7.415630286639336e-53,1.1245703118468462e-50
CLIC3,-2.0442623204349775,-1.4122972090962151,1.3112372720296148e-52,1.9361453508837286e-50
